year_index,intangible_plant,steam_production_plant,nuclear_production_plant,hydraulic_production_plant_conventional,hydraulic_production_plant_storage,other_production_plant,transmission_plant,distribution_plant,regional_transmission_plant,general_plant,common_electric_plant,total_electric_plant
1994,1,2,3,4,5,6,7,8,-1,9,10,11
1995,1,2,3,4,5,6,7,8,-1,9,10,11
1996,1,2,3,4,5,6,7,8,-1,9,10,11
1997,1,2,3,4,5,6,7,8,-1,9,10,11
1998,1,2,3,4,5,6,7,8,-1,9,10,11
1999,1,2,3,4,5,6,7,8,-1,9,10,11
2000,1,2,3,4,5,6,7,8,-1,9,10,11
2001,1,2,3,4,5,6,7,8,-1,9,10,11
2002,1,2,3,4,5,6,7,8,-1,9,10,11
2003,1,2,3,4,5,6,7,8,-1,9,10,11
2004,1,2,3,4,5,6,7,8,-1,9,10,11
2005,1,2,3,4,5,6,7,8,-1,9,10,11
2006,1,2,3,4,5,6,7,8,9,10,11,12
2007,1,2,3,4,5,6,7,8,9,10,11,12
2008,1,2,3,4,5,6,7,8,9,10,11,12
2009,1,2,3,4,5,6,7,8,9,10,11,12
2010,1,2,3,4,5,6,7,8,9,10,11,12
2011,1,2,3,4,5,6,7,8,9,10,11,12
2012,1,2,3,4,5,6,7,8,9,10,11,12
2013,1,2,3,4,5,6,7,8,9,10,11,12
2014,1,2,3,4,5,6,7,8,9,10,11,12
2015,1,2,3,4,5,6,7,8,9,10,11,12
2016,1,2,3,4,5,6,7,8,9,10,11,12
2017,1,2,3,4,5,6,7,8,9,10,11,12
2018,1,2,3,4,5,6,7,8,9,10,11,12
