year_index,report_year,utility_id_eia,utility_name_eia,entity_type,state,balancing_authority_code_eia,sales_revenue,sales_mwh,customers,num_water_heaters,has_net_metering,has_demand_side_management,has_time_responsive_programs,has_green_pricing,early_release
2012,0,1,2,-1,3,-1,4,5,6,-1,8,9,10,7,-1
2013,0,1,2,-1,3,4,5,6,7,8,9,10,11,-1,-1
2014,0,1,2,-1,3,4,5,6,7,8,9,10,11,-1,-1
2015,0,1,2,3,4,5,6,7,8,9,10,11,12,-1,-1
2016,0,1,2,3,4,5,6,7,8,9,10,11,12,-1,-1
2017,0,1,2,3,4,5,6,7,8,9,10,11,12,-1,-1
2018,0,1,2,3,4,5,6,7,8,9,10,11,12,-1,-1
2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2020,0,1,2,3,4,5,6,7,8,9,10,11,12,-1,-1
2021,0,1,2,3,4,5,6,7,8,9,10,11,12,-1,-1
2022,0,1,2,3,4,5,6,7,8,9,10,11,12,-1,-1
2023,0,1,2,3,4,5,6,7,8,9,10,11,12,-1,-1
2024,data_year,utility_number,utility_name,ownership,state,ba_code,total_revenue_thousand_dollars,total_sales_mwh,total_customers,water_heater,net_metering,demand_side_management,time_based_programs,,
