year_index,report_year,utility_id_eia,utility_name_eia,short_form,state,entity_type,nerc_region,tre_nerc_region_operation,frcc_nerc_region_operation,mro_nerc_region_operation,npcc_nerc_region_operation,rfc_nerc_region_operation,serc_nerc_region_operation,spp_nerc_region_operation,wecc_nerc_region_operation,operates_generating_plant,generation_activity,transmission_activity,buying_transmission_activity,distribution_activity,buying_distribution_activity,wholesale_marketing_activity,retail_marketing_activity,bundled_activity,alternative_fuel_vehicle_activity,alternative_fuel_vehicle_2_activity,caiso_rto_operation,ercot_rto_operation,pjm_rto_operation,nyiso_rto_operation,spp_rto_operation,miso_rto_operation,isone_rto_operation,other_rto_operation,early_release
2007,0,1,2,-1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,-1,-1,-1,-1,-1,-1,-1,-1,-1
2008,0,1,2,-1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,-1,-1,-1,-1,-1,-1,-1,-1,-1
2009,0,1,2,-1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,-1,-1,-1,-1,-1,-1,-1,-1,-1
2010,0,1,2,-1,3,4,5,6,7,8,9,10,11,12,13,22,23,24,25,26,27,28,29,30,31,32,14,15,16,17,18,19,20,21,-1
2011,0,1,2,-1,3,4,5,6,7,8,9,10,11,12,13,22,23,24,25,26,27,28,29,30,31,32,14,15,16,17,18,19,20,21,-1
2012,0,1,2,-1,3,4,5,6,7,8,9,10,11,12,13,-1,22,23,24,25,26,27,28,29,30,31,14,15,16,17,18,19,20,21,-1
2013,0,1,2,-1,3,4,5,6,7,8,9,10,11,12,13,-1,22,23,24,25,26,27,28,29,30,31,14,15,16,17,18,19,20,21,-1
2014,0,1,2,-1,3,4,5,6,7,8,9,10,11,12,13,-1,22,23,24,25,26,27,28,29,30,31,14,15,16,17,18,19,20,21,-1
2015,0,1,2,-1,3,4,5,6,7,8,9,10,11,12,13,-1,22,23,24,25,26,27,28,29,30,31,14,15,16,17,18,19,20,21,-1
2016,0,1,2,-1,3,4,5,6,7,8,9,10,11,12,13,-1,22,23,24,25,26,27,28,29,30,31,14,15,16,17,18,19,20,21,-1
2017,0,1,2,-1,3,4,5,6,7,8,9,10,11,12,13,-1,22,23,24,25,26,27,28,29,30,31,14,15,16,17,18,19,20,21,-1
2018,0,1,2,-1,3,4,5,6,7,8,9,10,11,12,13,-1,22,23,24,25,26,27,28,29,30,31,14,15,16,17,18,19,20,21,-1
2019,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,-1,23,24,25,26,27,28,29,30,31,32,15,16,17,18,19,20,21,22,-1
2020,0,1,2,-1,3,4,5,6,7,8,9,10,11,12,13,-1,22,23,24,25,26,27,28,29,30,31,14,15,16,17,18,19,20,21,-1
2021,0,1,2,-1,3,4,5,6,7,8,9,10,11,12,13,-1,22,23,24,25,26,27,28,29,30,31,14,15,16,17,18,19,20,21,-1
2022,0,1,2,-1,3,4,5,6,7,8,9,10,11,12,13,-1,22,23,24,25,26,27,28,29,30,31,14,15,16,17,18,19,20,21,-1
2023,0,1,2,-1,3,4,5,6,7,8,9,10,11,12,13,-1,22,23,24,25,26,27,28,29,30,31,14,15,16,17,18,19,20,21,-1
2024,data_year,utility_number,utility_name,,state,ownership_type,nerc_region,tre,frcc,mro,npcc,rfc,serc,spp,wecc,,generation,transmission,buying_transmission,distribution,buying_distribution,wholesale_marketing,retail_marketing,bundled,alt_fuel_vehicle,alt_fuel_vehicle_2,caiso,ercot,pjm,nyiso,spp_1,miso,isone,other,
