year_index,data_date,report_year,report_number,supplemental_report_number,operator_id_phmsa,operator_parent_name_phmsa,operator_name_phmsa,operator_name_phmsa_alt,headquarters_address_street,headquarters_address_city,headquarters_address_county,headquarters_address_state,headquarters_address_zip,commodity_group,preparer_name,preparer_title,preparer_email,preparer_telephone,preparer_fax,certifier_telephone,certifier_name,certifier_title,certifier_email
1990,,yr,rptid,,opid,,name,,hstreet,hcity,hcounty,hstate,hzip,,pname,,,phone,,,,,
1991,,yr,rptid,,opid,,name,,hstreet,hcity,hcounty,hstate,hzip,,pname,,,phone,,,,,
1992,,yr,rptid,,opid,,name,,hstreet,hcity,hcounty,hstate,hzip,,pname,,,phone,,,,,
1993,,yr,rptid,,opid,,name,,hstreet,hcity,hcounty,hstate,hzip,,pname,,,phone,,,,,
1994,,yr,rptid,,opid,,name,,hstreet,hcity,hcounty,hstate,hzip,,pname,,,phone,,,,,
1995,,yr,rptid,,opid,,name,,haddr,hcity,hcnty,hst,hzip,,pname,,,phone,,,,,
1996,,yr,rptid,,opid,,name,,haddr,hcity,hcnty,hst,hzip,,pname,,,phone,,,,,
1997,,yr,rptid,,opid,,name,,haddr,hcity,hcnty,hst,hzip,,pname,,,phone,,,,,
1998,,yr,rptid,,opid,,name,,haddr,hcity,hcnty,hst,hzip,,pname,,,phone,,,,,
1999,,yr,rptid,,opid,,name,,hstreet,hcity,hcounty,hstate,hzip,,pname,,,phone,,,,,
2000,,yr,rptid,,opid,,name,,hstreet,hcity,hcounty,hstate,hzip,,,,,,,,,,
2001,,yr,rptid,tr_sup_id,operator_id,,name,,hqstreet,hqcity,hqcounty,hqstate,hqzip,,pname,,pemail,phone,pfax,,,,
2002,,yr,rptid,tr_sup_id,operator_id,,name,,hqstreet,hqcity,hqcounty,hqstate,hqzip,,pname,,pemail,phone,pfax,,,,
2003,,yr,rptid,tr_sup_id,operator_id,,name,,hqstreet,hqcity,hqcounty,hqstate,hqzip,,pname,,pemail,phone,pfax,,,,
2004,,yr,rptid,tr_sup_id,operator_id,,name,,hqstreet,hqcity,hqcounty,hqstate,hqzip,,pname,,pemail,phone,pfax,,,,
2005,,yr,rptid,tr_sup_id,operator_id,,name,,hqstreet,hqcity,hqcounty,hqstate,hqzip,,pname,,pemail,phone,pfax,,,,
2006,,yr,rptid,tr_sup_id,operator_id,,name,,hqstreet,hqcity,hqcounty,hqstate,hqzip,,pname,,pemail,phone,pfax,,,,
2007,,yr,rptid,tr_sup_id,operator_id,,name,,hqstreet,hqcity,hqcounty,hqstate,hqzip,,pname,,pemail,phone,pfax,,,,
2008,,yr,rptid,tr_sup_id,operator_id,,name,,hqstreet,hqcity,hqcounty,hqstate,hqzip,,pname,,pemail,phone,pfax,,,,
2009,,yr,rptid,tr_sup_id,operator_id,,name,,hqstreet,hqcity,hqcounty,hqstate,hqzip,,pname,,pemail,phone,pfax,,,,
2010,datafile_as_of,report_year,report_number,supplemental_number,operator_id,parta2nameofparent_com,parta2nameofcomp,parta4nameofcomp,parta4street,parta4city,,parta4state,parta4zip,parta5commodity,partnprepname,partnpreptitle,partnprepemail,partnpreptele,,partoprepsename,partoprepsetitle,partoprepseemail,partoprepsetele
2011,datafile_as_of,report_year,report_number,supplemental_number,operator_id,parta2nameofparent_com,parta2nameofcomp,parta4nameofcomp,parta4street,parta4city,,parta4state,parta4zip,parta5commodity,partnprepname,partnpreptitle,partnprepemail,partnpreptele,,partoprepsename,partoprepsetitle,partoprepseemail,partoprepsetele
2012,datafile_as_of,report_year,report_number,supplemental_number,operator_id,,parta2nameofcomp,,parta4street,parta4city,,parta4state,parta4zip,parta5commodity,partnprepname,partnpreptitle,partnprepemail,partnpreptele,,partoprepsename,partoprepsetitle,partoprepseemail,partoprepsetele
2013,datafile_as_of,report_year,report_number,supplemental_number,operator_id,,parta2nameofcomp,,parta4street,parta4city,,parta4state,parta4zip,parta5commodity,partnprepname,partnpreptitle,partnprepemail,partnpreptele,,partoprepsename,partoprepsetitle,partoprepseemail,partoprepsetele
2014,datafile_as_of,report_year,report_number,supplemental_number,operator_id,,parta2nameofcomp,,parta4street,parta4city,,parta4state,parta4zip,parta5commodity,partnprepname,partnpreptitle,partnprepemail,partnpreptele,,partoprepsename,partoprepsetitle,partoprepseemail,partoprepsetele
2015,datafile_as_of,report_year,report_number,supplemental_number,operator_id,,parta2nameofcomp,,parta4street,parta4city,,parta4state,parta4zip,parta5commodity,partnprepname,partnpreptitle,partnprepemail,partnpreptele,,partoprepsename,partoprepsetitle,partoprepseemail,partoprepsetele
2016,datafile_as_of,report_year,report_number,supplemental_number,operator_id,,parta2nameofcomp,,parta4street,parta4city,,parta4state,parta4zip,parta5commodity,partnprepname,partnpreptitle,partnprepemail,partnpreptele,,partoprepsename,partoprepsetitle,partoprepseemail,partoprepsetele
2017,datafile_as_of,report_year,report_number,supplemental_number,operator_id,,parta2nameofcomp,,parta4street,parta4city,,parta4state,parta4zip,parta5commodity,partnprepname,partnpreptitle,partnprepemail,partnpreptele,,partoprepsename,partoprepsetitle,partoprepseemail,partoprepsetele
2018,datafile_as_of,report_year,report_number,supplemental_number,operator_id,,parta2nameofcomp,,parta4street,parta4city,,parta4state,parta4zip,parta5commodity,partnprepname,partnpreptitle,partnprepemail,partnpreptele,,partoprepsename,partoprepsetitle,partoprepseemail,partoprepsetele
2019,datafile_as_of,report_year,report_number,supplemental_number,operator_id,,parta2nameofcomp,,parta4street,parta4city,,parta4state,parta4zip,parta5commodity,partnprepname,partnpreptitle,partnprepemail,partnpreptele,,partoprepsename,partoprepsetitle,partoprepseemail,partoprepsetele
2020,datafile_as_of,report_year,report_number,supplemental_number,operator_id,,parta2nameofcomp,,parta4street,parta4city,,parta4state,parta4zip,parta5commodity,partnprepname,partnpreptitle,partnprepemail,partnpreptele,,partoprepsename,partoprepsetitle,partoprepseemail,partoprepsetele
2021,datafile_as_of,report_year,report_number,supplemental_number,operator_id,,parta2nameofcomp,,parta4street,parta4city,,parta4state,parta4zip,parta5commodity,partnprepname,partnpreptitle,partnprepemail,partnpreptele,,partoprepsename,partoprepsetitle,partoprepseemail,partoprepsetele
2022,datafile_as_of,report_year,report_number,supplemental_number,operator_id,,parta2nameofcomp,,parta4street,parta4city,,parta4state,parta4zip,parta5commodity,partnprepname,partnpreptitle,partnprepemail,partnpreptele,,partoprepsename,partoprepsetitle,partoprepseemail,partoprepsetele
