year_index,data_date,report_year,report_number,supplemental_report_number,operator_id_phmsa,operator_name_phmsa,commodity_group,interstate_or_intrastate,report_state,hca_method_1_subject_matter_expert_miles,hca_method_2_subject_matter_expert_miles,hca_method_total_subject_matter_expert_miles,hca_method_1_relative_risk_miles,hca_method_2_relative_risk_miles,hca_method_total_relative_risk_miles,hca_method_1_quantitative_miles,hca_method_2_quantitative_miles,hca_method_total_quantitative_miles,hca_method_1_probabilistic_miles,hca_method_2_probabilistic_miles,hca_method_total_probabilistic_miles,hca_method_1_scenario_based_miles,hca_method_2_scenario_based_miles,hca_method_total_scenario_based_miles,hca_method_1_other_miles,hca_method_2_other_miles,hca_method_total_other_miles,hca_method_1_total_miles,hca_method_2_total_miles,hca_method_total_total_miles,other_risk_model_type_description
1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,datafile_as_of,report_year,report_number,supplemental_number,operator_id,parta2nameofcomp,parta5commodity,inter_intra,state_name,parttsmehcam1,parttsmehcam2,parttsmetot,parttrrhcam1,parttrrhcam2,parttrrtot,parttqhcam1,parttqhcam2,parttqtot,parttphcam1,parttphcam2,parttptot,parttsbhcam1,parttsbhcam2,parttsbtot,parttohcam1,parttohcam2,parttotot,partthcam1tot,partthcam2tot,parttrmttot,parttothdesc
2023,datafile_as_of,report_year,report_number,supplemental_number,operator_id,parta2nameofcomp,parta5commodity,inter_intra,state_name,parttsmehcam1,parttsmehcam2,parttsmetot,parttrrhcam1,parttrrhcam2,parttrrtot,parttqhcam1,parttqhcam2,parttqtot,parttphcam1,parttphcam2,parttptot,parttsbhcam1,parttsbhcam2,parttsbtot,parttohcam1,parttohcam2,parttotot,partthcam1tot,partthcam2tot,parttrmttot,parttothdesc
2024,datafile_as_of,report_year,report_number,supplemental_number,operator_id,parta2nameofcomp,parta5commodity,inter_intra,state_name,parttsmehcam1,parttsmehcam2,parttsmetot,parttrrhcam1,parttrrhcam2,parttrrtot,parttqhcam1,parttqhcam2,parttqtot,parttphcam1,parttphcam2,parttptot,parttsbhcam1,parttsbhcam2,parttsbtot,parttohcam1,parttohcam2,parttotot,partthcam1tot,partthcam2tot,parttrmttot,parttothdesc
