year_index,data_date,interstate_or_intrastate,operator_id_phmsa,report_number,report_year,report_state,supplemental_report_number,operator_name_phmsa,commodity_group,onshore_transmission_pipe_steel_cathodically_protected_bare_miles,onshore_transmission_pipe_steel_cathodically_protected_coated_miles,onshore_transmission_pipe_steel_cathodically_unprotected_bare_miles,onshore_transmission_pipe_steel_cathodically_unprotected_coated_miles,onshore_transmission_pipe_cast_iron_miles,onshore_transmission_pipe_wrought_iron_miles,onshore_transmission_pipe_plastic_miles,onshore_transmission_pipe_composite_miles,onshore_transmission_pipe_other_miles,onshore_transmission_pipe_total_miles,offshore_transmission_pipe_steel_cathodically_protected_bare_miles,offshore_transmission_pipe_steel_cathodically_protected_coated_miles,offshore_transmission_pipe_steel_cathodically_unprotected_bare_miles,offshore_transmission_pipe_steel_cathodically_unprotected_coated_miles,offshore_transmission_pipe_cast_iron_miles,offshore_transmission_pipe_wrought_iron_miles,offshore_transmission_pipe_plastic_miles,offshore_transmission_pipe_composite_miles,offshore_transmission_pipe_other_miles,offshore_transmission_pipe_total_miles,total_transmission_pipe_steel_cathodically_protected_bare_miles,total_transmission_pipe_steel_cathodically_protected_coated_miles,total_transmission_pipe_steel_cathodically_unprotected_bare_miles,total_transmission_pipe_steel_cathodically_unprotected_coated_miles,total_transmission_pipe_cast_iron_miles,total_transmission_pipe_wrought_iron_miles,total_transmission_pipe_plastic_miles,total_transmission_pipe_composite_miles,total_transmission_pipe_other_miles,total_transmission_pipe_total_miles,onshore_type_a_gathering_pipe_steel_cathodically_protected_bare_miles,onshore_type_a_gathering_pipe_steel_cathodically_protected_coated_miles,onshore_type_a_gathering_pipe_steel_cathodically_unprotected_bare_miles,onshore_type_a_gathering_pipe_steel_cathodically_unprotected_coated_miles,onshore_type_a_gathering_pipe_cast_iron_miles,onshore_type_a_gathering_pipe_wrought_iron_miles,onshore_type_a_gathering_pipe_plastic_miles,onshore_type_a_gathering_pipe_composite_miles,onshore_type_a_gathering_pipe_other_miles,onshore_type_a_gathering_pipe_total_miles,onshore_type_b_gathering_pipe_steel_cathodically_protected_bare_miles,onshore_type_b_gathering_pipe_steel_cathodically_protected_coated_miles,onshore_type_b_gathering_pipe_steel_cathodically_unprotected_bare_miles,onshore_type_b_gathering_pipe_steel_cathodically_unprotected_coated_miles,onshore_type_b_gathering_pipe_cast_iron_miles,onshore_type_b_gathering_pipe_wrought_iron_miles,onshore_type_b_gathering_pipe_plastic_miles,onshore_type_b_gathering_pipe_composite_miles,onshore_type_b_gathering_pipe_other_miles,onshore_type_b_gathering_pipe_total_miles,onshore_type_c_gathering_pipe_steel_cathodically_protected_bare_miles,onshore_type_c_gathering_pipe_steel_cathodically_protected_coated_miles,onshore_type_c_gathering_pipe_steel_cathodically_unprotected_bare_miles,onshore_type_c_gathering_pipe_steel_cathodically_unprotected_coated_miles,onshore_type_c_gathering_pipe_cast_iron_miles,onshore_type_c_gathering_pipe_wrought_iron_miles,onshore_type_c_gathering_pipe_plastic_miles,onshore_type_c_gathering_pipe_composite_miles,onshore_type_c_gathering_pipe_other_miles,onshore_type_c_gathering_pipe_total_miles,offshore_gathering_pipe_steel_cathodically_protected_bare_miles,offshore_gathering_pipe_steel_cathodically_protected_coated_miles,offshore_gathering_pipe_steel_cathodically_unprotected_bare_miles,offshore_gathering_pipe_steel_cathodically_unprotected_coated_miles,offshore_gathering_pipe_cast_iron_miles,offshore_gathering_pipe_wrought_iron_miles,offshore_gathering_pipe_plastic_miles,offshore_gathering_pipe_composite_miles,offshore_gathering_pipe_other_miles,offshore_gathering_pipe_total_miles,total_gathering_pipe_steel_cathodically_protected_bare_miles,total_gathering_pipe_steel_cathodically_protected_coated_miles,total_gathering_pipe_steel_cathodically_unprotected_bare_miles,total_gathering_pipe_steel_cathodically_unprotected_coated_miles,total_gathering_pipe_cast_iron_miles,total_gathering_pipe_wrought_iron_miles,total_gathering_pipe_plastic_miles,total_gathering_pipe_composite_miles,total_gathering_pipe_other_miles,total_gathering_pipe_total_miles,total_total_pipe_steel_cathodically_protected_bare_miles,total_total_pipe_steel_cathodically_protected_coated_miles,total_total_pipe_steel_cathodically_unprotected_bare_miles,total_total_pipe_steel_cathodically_unprotected_coated_miles,total_total_pipe_cast_iron_miles,total_total_pipe_wrought_iron_miles,total_total_pipe_plastic_miles,total_total_pipe_composite_miles,total_total_pipe_other_miles,total_total_pipe_total_miles,transmission_pipe_other_materials_description,gathering_pipe_other_materials_description
1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
