year_index,data_date,interstate_or_intrastate,operator_id_phmsa,report_number,report_year,report_state,supplemental_report_number,operator_name_phmsa,commodity_group,onshore_transmission_pipe_steel_cathodically_protected_bare_miles,onshore_transmission_pipe_steel_cathodically_protected_coated_miles,onshore_transmission_pipe_steel_cathodically_unprotected_bare_miles,onshore_transmission_pipe_steel_cathodically_unprotected_coated_miles,onshore_transmission_pipe_cast_iron_miles,onshore_transmission_pipe_wrought_iron_miles,onshore_transmission_pipe_plastic_miles,onshore_transmission_pipe_composite_miles,onshore_transmission_pipe_other_miles,onshore_transmission_pipe_total_miles,offshore_transmission_pipe_steel_cathodically_protected_bare_miles,offshore_transmission_pipe_steel_cathodically_protected_coated_miles,offshore_transmission_pipe_steel_cathodically_unprotected_bare_miles,offshore_transmission_pipe_steel_cathodically_unprotected_coated_miles,offshore_transmission_pipe_cast_iron_miles,offshore_transmission_pipe_wrought_iron_miles,offshore_transmission_pipe_plastic_miles,offshore_transmission_pipe_composite_miles,offshore_transmission_pipe_other_miles,offshore_transmission_pipe_total_miles,total_transmission_pipe_steel_cathodically_protected_bare_miles,total_transmission_pipe_steel_cathodically_protected_coated_miles,total_transmission_pipe_steel_cathodically_unprotected_bare_miles,total_transmission_pipe_steel_cathodically_unprotected_coated_miles,total_transmission_pipe_cast_iron_miles,total_transmission_pipe_wrought_iron_miles,total_transmission_pipe_plastic_miles,total_transmission_pipe_composite_miles,total_transmission_pipe_other_miles,total_transmission_pipe_total_miles,onshore_type_a_gathering_pipe_steel_cathodically_protected_bare_miles,onshore_type_a_gathering_pipe_steel_cathodically_protected_coated_miles,onshore_type_a_gathering_pipe_steel_cathodically_unprotected_bare_miles,onshore_type_a_gathering_pipe_steel_cathodically_unprotected_coated_miles,onshore_type_a_gathering_pipe_cast_iron_miles,onshore_type_a_gathering_pipe_wrought_iron_miles,onshore_type_a_gathering_pipe_plastic_miles,onshore_type_a_gathering_pipe_composite_miles,onshore_type_a_gathering_pipe_other_miles,onshore_type_a_gathering_pipe_total_miles,onshore_type_b_gathering_pipe_steel_cathodically_protected_bare_miles,onshore_type_b_gathering_pipe_steel_cathodically_protected_coated_miles,onshore_type_b_gathering_pipe_steel_cathodically_unprotected_bare_miles,onshore_type_b_gathering_pipe_steel_cathodically_unprotected_coated_miles,onshore_type_b_gathering_pipe_cast_iron_miles,onshore_type_b_gathering_pipe_wrought_iron_miles,onshore_type_b_gathering_pipe_plastic_miles,onshore_type_b_gathering_pipe_composite_miles,onshore_type_b_gathering_pipe_other_miles,onshore_type_b_gathering_pipe_total_miles,onshore_type_c_gathering_pipe_steel_cathodically_protected_bare_miles,onshore_type_c_gathering_pipe_steel_cathodically_protected_coated_miles,onshore_type_c_gathering_pipe_steel_cathodically_unprotected_bare_miles,onshore_type_c_gathering_pipe_steel_cathodically_unprotected_coated_miles,onshore_type_c_gathering_pipe_cast_iron_miles,onshore_type_c_gathering_pipe_wrought_iron_miles,onshore_type_c_gathering_pipe_plastic_miles,onshore_type_c_gathering_pipe_composite_miles,onshore_type_c_gathering_pipe_other_miles,onshore_type_c_gathering_pipe_total_miles,offshore_gathering_pipe_steel_cathodically_protected_bare_miles,offshore_gathering_pipe_steel_cathodically_protected_coated_miles,offshore_gathering_pipe_steel_cathodically_unprotected_bare_miles,offshore_gathering_pipe_steel_cathodically_unprotected_coated_miles,offshore_gathering_pipe_cast_iron_miles,offshore_gathering_pipe_wrought_iron_miles,offshore_gathering_pipe_plastic_miles,offshore_gathering_pipe_composite_miles,offshore_gathering_pipe_other_miles,offshore_gathering_pipe_total_miles,total_gathering_pipe_steel_cathodically_protected_bare_miles,total_gathering_pipe_steel_cathodically_protected_coated_miles,total_gathering_pipe_steel_cathodically_unprotected_bare_miles,total_gathering_pipe_steel_cathodically_unprotected_coated_miles,total_gathering_pipe_cast_iron_miles,total_gathering_pipe_wrought_iron_miles,total_gathering_pipe_plastic_miles,total_gathering_pipe_composite_miles,total_gathering_pipe_other_miles,total_gathering_pipe_total_miles,total_total_pipe_steel_cathodically_protected_bare_miles,total_total_pipe_steel_cathodically_protected_coated_miles,total_total_pipe_steel_cathodically_unprotected_bare_miles,total_total_pipe_steel_cathodically_unprotected_coated_miles,total_total_pipe_cast_iron_miles,total_total_pipe_wrought_iron_miles,total_total_pipe_plastic_miles,total_total_pipe_composite_miles,total_total_pipe_other_miles,total_total_pipe_total_miles,transmission_pipe_other_materials_description,gathering_pipe_other_materials_description
2010,datafile_as_of,inter_intra,operator_id,report_number,report_year,state_name,supplemental_number,parta2nameofcomp,parta5commodity,partptoncpb,partptoncpc,partptoncub,partptoncuc,partptonci,partptonwi,partptonp,partptonc,partptono,partptontotal,partptoffcpb,partptoffcpc,partptoffcub,partptoffcuc,partptoffci,partptoffwi,partptoffp,partptoffc,partptoffo,partptofftotal,partptcpbtotal,partptcpctotal,partptcubtotal,partptcuctotal,partptcitotal,partptwictotal,partptptotal,partptctotal,partptototal,partpttotal,partpgontacpb,partpgontacpc,partpgontacub,partpgontacuc,partpgontaci,partpgontawi,partpgontap,partpgontac,partpgontao,partpgonatotal,partpgontbcpb,partpgontbcpc,partpgontbcub,partpgontbcuc,partpgontbci,partpgontbwi,partpgontbp,partpgontbc,partpgontbo,partpgonbtotal,partpgontccpb,partpgontccpc,partpgontccub,partpgontccuc,partpgontcci,partpgontcwi,partpgontcp,partpgontcc,partpgontco,partpgonctotal,partpgoffcpb,partpgoffcpc,partpgoffcub,partpgoffcuc,partpgoffci,partpgoffwi,partpgoffp,partpgoffc,partpgoffo,partpgofftotal,partpgcpbtotal,partpgcpctotal,partpgcubtotal,partpgcuctotal,partpgcitotal,partpgwitotal,partpgptotal,partpgctotal,partpgototal,partpgtotal,partpcpbtotal,partpcpctotal,partpcubtotal,partpcuctotal,partpcitotal,partpwitotal,partpptotal,partpctotal,partpototal,partptotalmiles,partpothermaterials,partpgothermaterials
2011,datafile_as_of,inter_intra,operator_id,report_number,report_year,state_name,supplemental_number,parta2nameofcomp,parta5commodity,partptoncpb,partptoncpc,partptoncub,partptoncuc,partptonci,partptonwi,partptonp,partptonc,partptono,partptontotal,partptoffcpb,partptoffcpc,partptoffcub,partptoffcuc,partptoffci,partptoffwi,partptoffp,partptoffc,partptoffo,partptofftotal,partptcpbtotal,partptcpctotal,partptcubtotal,partptcuctotal,partptcitotal,partptwictotal,partptptotal,partptctotal,partptototal,partpttotal,partpgontacpb,partpgontacpc,partpgontacub,partpgontacuc,partpgontaci,partpgontawi,partpgontap,partpgontac,partpgontao,partpgonatotal,partpgontbcpb,partpgontbcpc,partpgontbcub,partpgontbcuc,partpgontbci,partpgontbwi,partpgontbp,partpgontbc,partpgontbo,partpgonbtotal,partpgontccpb,partpgontccpc,partpgontccub,partpgontccuc,partpgontcci,partpgontcwi,partpgontcp,partpgontcc,partpgontco,partpgonctotal,partpgoffcpb,partpgoffcpc,partpgoffcub,partpgoffcuc,partpgoffci,partpgoffwi,partpgoffp,partpgoffc,partpgoffo,partpgofftotal,partpgcpbtotal,partpgcpctotal,partpgcubtotal,partpgcuctotal,partpgcitotal,partpgwitotal,partpgptotal,partpgctotal,partpgototal,partpgtotal,partpcpbtotal,partpcpctotal,partpcubtotal,partpcuctotal,partpcitotal,partpwitotal,partpptotal,partpctotal,partpototal,partptotalmiles,partpothermaterials,partpgothermaterials
2012,datafile_as_of,inter_intra,operator_id,report_number,report_year,state_name,supplemental_number,parta2nameofcomp,parta5commodity,partptoncpb,partptoncpc,partptoncub,partptoncuc,partptonci,partptonwi,partptonp,partptonc,partptono,partptontotal,partptoffcpb,partptoffcpc,partptoffcub,partptoffcuc,partptoffci,partptoffwi,partptoffp,partptoffc,partptoffo,partptofftotal,partptcpbtotal,partptcpctotal,partptcubtotal,partptcuctotal,partptcitotal,partptwictotal,partptptotal,partptctotal,partptototal,partpttotal,partpgontacpb,partpgontacpc,partpgontacub,partpgontacuc,partpgontaci,partpgontawi,partpgontap,partpgontac,partpgontao,partpgonatotal,partpgontbcpb,partpgontbcpc,partpgontbcub,partpgontbcuc,partpgontbci,partpgontbwi,partpgontbp,partpgontbc,partpgontbo,partpgonbtotal,partpgontccpb,partpgontccpc,partpgontccub,partpgontccuc,partpgontcci,partpgontcwi,partpgontcp,partpgontcc,partpgontco,partpgonctotal,partpgoffcpb,partpgoffcpc,partpgoffcub,partpgoffcuc,partpgoffci,partpgoffwi,partpgoffp,partpgoffc,partpgoffo,partpgofftotal,partpgcpbtotal,partpgcpctotal,partpgcubtotal,partpgcuctotal,partpgcitotal,partpgwitotal,partpgptotal,partpgctotal,partpgototal,partpgtotal,partpcpbtotal,partpcpctotal,partpcubtotal,partpcuctotal,partpcitotal,partpwitotal,partpptotal,partpctotal,partpototal,partptotalmiles,partpothermaterials,partpgothermaterials
2013,datafile_as_of,inter_intra,operator_id,report_number,report_year,state_name,supplemental_number,parta2nameofcomp,parta5commodity,partptoncpb,partptoncpc,partptoncub,partptoncuc,partptonci,partptonwi,partptonp,partptonc,partptono,partptontotal,partptoffcpb,partptoffcpc,partptoffcub,partptoffcuc,partptoffci,partptoffwi,partptoffp,partptoffc,partptoffo,partptofftotal,partptcpbtotal,partptcpctotal,partptcubtotal,partptcuctotal,partptcitotal,partptwictotal,partptptotal,partptctotal,partptototal,partpttotal,partpgontacpb,partpgontacpc,partpgontacub,partpgontacuc,partpgontaci,partpgontawi,partpgontap,partpgontac,partpgontao,partpgonatotal,partpgontbcpb,partpgontbcpc,partpgontbcub,partpgontbcuc,partpgontbci,partpgontbwi,partpgontbp,partpgontbc,partpgontbo,partpgonbtotal,partpgontccpb,partpgontccpc,partpgontccub,partpgontccuc,partpgontcci,partpgontcwi,partpgontcp,partpgontcc,partpgontco,partpgonctotal,partpgoffcpb,partpgoffcpc,partpgoffcub,partpgoffcuc,partpgoffci,partpgoffwi,partpgoffp,partpgoffc,partpgoffo,partpgofftotal,partpgcpbtotal,partpgcpctotal,partpgcubtotal,partpgcuctotal,partpgcitotal,partpgwitotal,partpgptotal,partpgctotal,partpgototal,partpgtotal,partpcpbtotal,partpcpctotal,partpcubtotal,partpcuctotal,partpcitotal,partpwitotal,partpptotal,partpctotal,partpototal,partptotalmiles,partpothermaterials,partpgothermaterials
2014,datafile_as_of,inter_intra,operator_id,report_number,report_year,state_name,supplemental_number,parta2nameofcomp,parta5commodity,partptoncpb,partptoncpc,partptoncub,partptoncuc,partptonci,partptonwi,partptonp,partptonc,partptono,partptontotal,partptoffcpb,partptoffcpc,partptoffcub,partptoffcuc,partptoffci,partptoffwi,partptoffp,partptoffc,partptoffo,partptofftotal,partptcpbtotal,partptcpctotal,partptcubtotal,partptcuctotal,partptcitotal,partptwictotal,partptptotal,partptctotal,partptototal,partpttotal,partpgontacpb,partpgontacpc,partpgontacub,partpgontacuc,partpgontaci,partpgontawi,partpgontap,partpgontac,partpgontao,partpgonatotal,partpgontbcpb,partpgontbcpc,partpgontbcub,partpgontbcuc,partpgontbci,partpgontbwi,partpgontbp,partpgontbc,partpgontbo,partpgonbtotal,partpgontccpb,partpgontccpc,partpgontccub,partpgontccuc,partpgontcci,partpgontcwi,partpgontcp,partpgontcc,partpgontco,partpgonctotal,partpgoffcpb,partpgoffcpc,partpgoffcub,partpgoffcuc,partpgoffci,partpgoffwi,partpgoffp,partpgoffc,partpgoffo,partpgofftotal,partpgcpbtotal,partpgcpctotal,partpgcubtotal,partpgcuctotal,partpgcitotal,partpgwitotal,partpgptotal,partpgctotal,partpgototal,partpgtotal,partpcpbtotal,partpcpctotal,partpcubtotal,partpcuctotal,partpcitotal,partpwitotal,partpptotal,partpctotal,partpototal,partptotalmiles,partpothermaterials,partpgothermaterials
2015,datafile_as_of,inter_intra,operator_id,report_number,report_year,state_name,supplemental_number,parta2nameofcomp,parta5commodity,partptoncpb,partptoncpc,partptoncub,partptoncuc,partptonci,partptonwi,partptonp,partptonc,partptono,partptontotal,partptoffcpb,partptoffcpc,partptoffcub,partptoffcuc,partptoffci,partptoffwi,partptoffp,partptoffc,partptoffo,partptofftotal,partptcpbtotal,partptcpctotal,partptcubtotal,partptcuctotal,partptcitotal,partptwictotal,partptptotal,partptctotal,partptototal,partpttotal,partpgontacpb,partpgontacpc,partpgontacub,partpgontacuc,partpgontaci,partpgontawi,partpgontap,partpgontac,partpgontao,partpgonatotal,partpgontbcpb,partpgontbcpc,partpgontbcub,partpgontbcuc,partpgontbci,partpgontbwi,partpgontbp,partpgontbc,partpgontbo,partpgonbtotal,partpgontccpb,partpgontccpc,partpgontccub,partpgontccuc,partpgontcci,partpgontcwi,partpgontcp,partpgontcc,partpgontco,partpgonctotal,partpgoffcpb,partpgoffcpc,partpgoffcub,partpgoffcuc,partpgoffci,partpgoffwi,partpgoffp,partpgoffc,partpgoffo,partpgofftotal,partpgcpbtotal,partpgcpctotal,partpgcubtotal,partpgcuctotal,partpgcitotal,partpgwitotal,partpgptotal,partpgctotal,partpgototal,partpgtotal,partpcpbtotal,partpcpctotal,partpcubtotal,partpcuctotal,partpcitotal,partpwitotal,partpptotal,partpctotal,partpototal,partptotalmiles,partpothermaterials,partpgothermaterials
2016,datafile_as_of,inter_intra,operator_id,report_number,report_year,state_name,supplemental_number,parta2nameofcomp,parta5commodity,partptoncpb,partptoncpc,partptoncub,partptoncuc,partptonci,partptonwi,partptonp,partptonc,partptono,partptontotal,partptoffcpb,partptoffcpc,partptoffcub,partptoffcuc,partptoffci,partptoffwi,partptoffp,partptoffc,partptoffo,partptofftotal,partptcpbtotal,partptcpctotal,partptcubtotal,partptcuctotal,partptcitotal,partptwictotal,partptptotal,partptctotal,partptototal,partpttotal,partpgontacpb,partpgontacpc,partpgontacub,partpgontacuc,partpgontaci,partpgontawi,partpgontap,partpgontac,partpgontao,partpgonatotal,partpgontbcpb,partpgontbcpc,partpgontbcub,partpgontbcuc,partpgontbci,partpgontbwi,partpgontbp,partpgontbc,partpgontbo,partpgonbtotal,partpgontccpb,partpgontccpc,partpgontccub,partpgontccuc,partpgontcci,partpgontcwi,partpgontcp,partpgontcc,partpgontco,partpgonctotal,partpgoffcpb,partpgoffcpc,partpgoffcub,partpgoffcuc,partpgoffci,partpgoffwi,partpgoffp,partpgoffc,partpgoffo,partpgofftotal,partpgcpbtotal,partpgcpctotal,partpgcubtotal,partpgcuctotal,partpgcitotal,partpgwitotal,partpgptotal,partpgctotal,partpgototal,partpgtotal,partpcpbtotal,partpcpctotal,partpcubtotal,partpcuctotal,partpcitotal,partpwitotal,partpptotal,partpctotal,partpototal,partptotalmiles,partpothermaterials,partpgothermaterials
2017,datafile_as_of,inter_intra,operator_id,report_number,report_year,state_name,supplemental_number,parta2nameofcomp,parta5commodity,partptoncpb,partptoncpc,partptoncub,partptoncuc,partptonci,partptonwi,partptonp,partptonc,partptono,partptontotal,partptoffcpb,partptoffcpc,partptoffcub,partptoffcuc,partptoffci,partptoffwi,partptoffp,partptoffc,partptoffo,partptofftotal,partptcpbtotal,partptcpctotal,partptcubtotal,partptcuctotal,partptcitotal,partptwictotal,partptptotal,partptctotal,partptototal,partpttotal,partpgontacpb,partpgontacpc,partpgontacub,partpgontacuc,partpgontaci,partpgontawi,partpgontap,partpgontac,partpgontao,partpgonatotal,partpgontbcpb,partpgontbcpc,partpgontbcub,partpgontbcuc,partpgontbci,partpgontbwi,partpgontbp,partpgontbc,partpgontbo,partpgonbtotal,partpgontccpb,partpgontccpc,partpgontccub,partpgontccuc,partpgontcci,partpgontcwi,partpgontcp,partpgontcc,partpgontco,partpgonctotal,partpgoffcpb,partpgoffcpc,partpgoffcub,partpgoffcuc,partpgoffci,partpgoffwi,partpgoffp,partpgoffc,partpgoffo,partpgofftotal,partpgcpbtotal,partpgcpctotal,partpgcubtotal,partpgcuctotal,partpgcitotal,partpgwitotal,partpgptotal,partpgctotal,partpgototal,partpgtotal,partpcpbtotal,partpcpctotal,partpcubtotal,partpcuctotal,partpcitotal,partpwitotal,partpptotal,partpctotal,partpototal,partptotalmiles,partpothermaterials,partpgothermaterials
2018,datafile_as_of,inter_intra,operator_id,report_number,report_year,state_name,supplemental_number,parta2nameofcomp,parta5commodity,partptoncpb,partptoncpc,partptoncub,partptoncuc,partptonci,partptonwi,partptonp,partptonc,partptono,partptontotal,partptoffcpb,partptoffcpc,partptoffcub,partptoffcuc,partptoffci,partptoffwi,partptoffp,partptoffc,partptoffo,partptofftotal,partptcpbtotal,partptcpctotal,partptcubtotal,partptcuctotal,partptcitotal,partptwictotal,partptptotal,partptctotal,partptototal,partpttotal,partpgontacpb,partpgontacpc,partpgontacub,partpgontacuc,partpgontaci,partpgontawi,partpgontap,partpgontac,partpgontao,partpgonatotal,partpgontbcpb,partpgontbcpc,partpgontbcub,partpgontbcuc,partpgontbci,partpgontbwi,partpgontbp,partpgontbc,partpgontbo,partpgonbtotal,partpgontccpb,partpgontccpc,partpgontccub,partpgontccuc,partpgontcci,partpgontcwi,partpgontcp,partpgontcc,partpgontco,partpgonctotal,partpgoffcpb,partpgoffcpc,partpgoffcub,partpgoffcuc,partpgoffci,partpgoffwi,partpgoffp,partpgoffc,partpgoffo,partpgofftotal,partpgcpbtotal,partpgcpctotal,partpgcubtotal,partpgcuctotal,partpgcitotal,partpgwitotal,partpgptotal,partpgctotal,partpgototal,partpgtotal,partpcpbtotal,partpcpctotal,partpcubtotal,partpcuctotal,partpcitotal,partpwitotal,partpptotal,partpctotal,partpototal,partptotalmiles,partpothermaterials,partpgothermaterials
2019,datafile_as_of,inter_intra,operator_id,report_number,report_year,state_name,supplemental_number,parta2nameofcomp,parta5commodity,partptoncpb,partptoncpc,partptoncub,partptoncuc,partptonci,partptonwi,partptonp,partptonc,partptono,partptontotal,partptoffcpb,partptoffcpc,partptoffcub,partptoffcuc,partptoffci,partptoffwi,partptoffp,partptoffc,partptoffo,partptofftotal,partptcpbtotal,partptcpctotal,partptcubtotal,partptcuctotal,partptcitotal,partptwictotal,partptptotal,partptctotal,partptototal,partpttotal,partpgontacpb,partpgontacpc,partpgontacub,partpgontacuc,partpgontaci,partpgontawi,partpgontap,partpgontac,partpgontao,partpgonatotal,partpgontbcpb,partpgontbcpc,partpgontbcub,partpgontbcuc,partpgontbci,partpgontbwi,partpgontbp,partpgontbc,partpgontbo,partpgonbtotal,partpgontccpb,partpgontccpc,partpgontccub,partpgontccuc,partpgontcci,partpgontcwi,partpgontcp,partpgontcc,partpgontco,partpgonctotal,partpgoffcpb,partpgoffcpc,partpgoffcub,partpgoffcuc,partpgoffci,partpgoffwi,partpgoffp,partpgoffc,partpgoffo,partpgofftotal,partpgcpbtotal,partpgcpctotal,partpgcubtotal,partpgcuctotal,partpgcitotal,partpgwitotal,partpgptotal,partpgctotal,partpgototal,partpgtotal,partpcpbtotal,partpcpctotal,partpcubtotal,partpcuctotal,partpcitotal,partpwitotal,partpptotal,partpctotal,partpototal,partptotalmiles,partpothermaterials,partpgothermaterials
