year_index,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
report_year,0,0,0,0,0,0,0,0,0,0,0,0,0,0
utility_id_eia,1,1,1,1,1,1,1,1,1,1,1,1,1,1
utility_name_eia,2,2,2,2,2,2,2,2,2,2,2,2,2,2
state,3,3,3,3,3,3,-1,-1,-1,-1,-1,-1,-1,-1
entity_type,4,4,4,4,4,-1,-1,-1,-1,-1,-1,-1,-1,-1
merge_date,5,5,5,5,5,4,3,3,3,3,3,3,3,3
merge_company,6,6,6,6,6,5,4,4,4,4,4,4,4,4
new_parent,7,7,7,7,7,6,5,5,5,5,5,5,5,5
merge_address,8,8,8,8,8,7,6,6,6,6,6,6,6,6
merge_city,9,9,9,9,9,8,7,7,7,7,7,7,7,7
merge_state,10,10,10,10,10,9,8,8,8,8,8,8,8,8
zip_code,11,11,11,11,11,10,9,9,9,9,9,9,9,9
zip_code_4,12,12,12,12,12,-1,-1,-1,-1,-1,-1,-1,-1,-1
