year_index,fips_level,state_id_fips,county_id_fips,county_subdivision_fips,place_fips,consolidated_city_fips,area_name
2009,summary_level,state_code_fips,county_code_fips,county_subdivision_code_fips,place_code_fips,consolidated_city_code_fips,area_name_including_legal_statistical_area_description
2011,summary_level,state_code_fips,county_code_fips,county_subdivision_code_fips,place_code_fips,consolidated_city_code_fips,area_name_including_legal_statistical_area_description
2012,summary_level,state_code_fips,county_code_fips,county_subdivision_code_fips,place_code_fips,consolidated_city_code_fips,area_name_including_legal_statistical_area_description
2013,summary_level,state_code_fips,county_code_fips,county_subdivision_code_fips,place_code_fips,consolidated_city_code_fips,area_name_including_legal_statistical_area_description
2014,summary_level,state_code_fips,county_code_fips,county_subdivision_code_fips,place_code_fips,consolidtated_city_code_fips,area_name_including_legal_statistical_area_description
2015,summary_level,state_code_fips,county_code_fips,county_subdivision_code_fips,place_code_fips,consolidtated_city_code_fips,area_name_including_legal_statistical_area_description
2016,summary_level,state_code_fips,county_code_fips,county_subdivision_code_fips,place_code_fips,consolidtated_city_code_fips,area_name_including_legal_statistical_area_description
2017,summary_level,state_code_fips,county_code_fips,county_subdivision_code_fips,place_code_fips,consolidtated_city_code_fips,area_name_including_legal_statistical_area_description
2018,summary_level,state_code_fips,county_code_fips,county_subdivision_code_fips,place_code_fips,consolidtated_city_code_fips,area_name_including_legal_statistical_area_description
2019,summary_level,state_code_fips,county_code_fips,county_subdivision_code_fips,place_code_fips,consolidtated_city_code_fips,area_name_including_legal_statistical_area_description
2020,summary_level,state_code_fips,county_code_fips,county_subdivision_code_fips,place_code_fips,consolidtated_city_code_fips,area_name_including_legal_statistical_area_description
2021,summary_level,state_code_fips,county_code_fips,county_subdivision_code_fips,place_code_fips,consolidtated_city_code_fips,area_name_including_legal_statistical_area_description
2022,summary_level,state_fips_code,county_fips_code,county_subdivision_fips_code,place_fips_code,consolidated_city_fips_code,area_name
2023,summary_level,state_fips_code,county_fips_code,county_subdivision_fips_code,place_fips_code,consolidated_city_fips_code,area_name
2024,summary_level,state_fips_code,county_fips_code,county_subdivision_fips_code,place_fips_code,consolidated_city_fips_code,area_name
