year_index,utility_id_eia,utility_name_eia,street_address,city,state,zip_code,plants_reported_owner,plants_reported_operator,plants_reported_asset_manager,plants_reported_other_relationship,regulated,entity_type,attention_line,address_2,address_3,zip_code_4,contact_firstname,contact_lastname,contact_title,contact_firstname_2,contact_lastname_2,contact_title_2,phone_number_first,phone_number_mid,phone_number_last,phone_extension,phone_number_first_2,phone_number_mid_2,phone_number_last_2,phone_extension_2
2001,utilcode,utilname,address3,city,state,zipcode,,,,,type,ownertype,attn,address2,address4,extzip,contname,contnme2,conttitle,,,contitle2,areacode,phnexch,phnnum,phnext,areacde2,phnexch2,phnnum2,phnext2
2002,utilcode,utilname,address3,city,state,zipcode,,,,,type,ownertype,attn,address2,address4,extzip,contname,contnme2,conttitle,,,contitle2,areacode,phnexch,phnnum,phnext,areacde2,phnexch2,phnnum2,phnext2
2003,utilcode,utilname,address3,city,state,zipcode,,,,,type,ownertype,attn,address2,address4,extzip,cont1nme1,cont1nme2,conttitle,cont2nme1,cont2nme2,contitle2,areacode,phnexch,phnnum,phnext,areacde2,phnexch2,phnnum2,phnext2
2004,utilcode,utilname,address3,city,state,zipcode,,,,,,ownertype,attn,address2,address4,extzip,cont1nme1,cont1nme2,conttitle,cont2nme1,cont2nme2,contitle2,areacode,phnexch,phnnum,phnext,areacde2,phnexch2,phnnum2,phnext2
2005,utilcode,utilname,address3,city,state,zipcode,,,,,,ownertype,attn,address2,,extzip,cont1nme1,cont1nme2,conttitle,cont2nme1,cont2nme2,contitle2,areacode,phnexch,phnnum,phnext,areacde2,phnexch2,phnnum2,phnext2
2006,utilcode,utilname,address3,city,state,zipcode,,,,,,ownertype,attn,address2,,extzip,cont1nme1,cont1nme2,contitle,cont2nme1,cont2nme2,contitle2,area_code,phnexch,phnnum,phnext,areacde2,phnexch2,phnnum2,phnext2
2007,utilcode,utilname,address3,city,state,zipcode,,,,,,,attn,address2,,extzip,cont1nme1,cont1nme2,contitle,cont2nme1,cont2nme2,contitle2,,,,,,,,
2008,utilcode,utilname,address3,city,state,zipcode,,,,,,,attn,address2,,extzip,cont1nme1,cont1nme2,contitle,cont2nme1,cont2nme2,contitle2,,,,,,,,
2009,utility_id,utility_name,utility_street_address,utility_city,utility_state,utility_zip5,,,,,,,utility_attention_line,utility_po_box_line,,utility_zip4,contact_firstname,contact_name,contact_title,contact_firstname2,contact_name2,contact_title2,,,,,,,,
2010,utility_id,utility_name,utility_street_address,utility_city,utility_state,utility_zip5,,,,,,,,utility_street_address_2,,utility_zip4,,,,,,,,,,,,,,
2011,utility_id,utility_name,street_address,city,state,zip5,,,,,,,,,,,,,,,,,,,,,,,,
2012,utility_id,utility_name,street_address,city,state,zip,,,,,,,,,,,,,,,,,,,,,,,,
2013,utility_id,utility_name,street_address,city,state,zip,owner,operator,asset_manager,other_reltionships_with_plants_reported_on_form,,entity_type,,,,,,,,,,,,,,,,,,
2014,utility_id,utility_name,street_address,city,state,zip,owner,operator,asset_manager,other_relationships_with_plants_reported_on_form,,entity_type,,,,,,,,,,,,,,,,,,
2015,utility_id,utility_name,street_address,city,state,zip,owner_of_plants_reported_on_form,operator_of_plants_reported_on_form,asset_manager_of_plants_reported_on_form,other_relationships_with_plants_reported_on_form,,entity_type,,,,,,,,,,,,,,,,,,
2016,utility_id,utility_name,street_address,city,state,zip,owner_of_plants_reported_on_form,operator_of_plants_reported_on_form,asset_manager_of_plants_reported_on_form,other_relationships_with_plants_reported_on_form,,entity_type,,,,,,,,,,,,,,,,,,
2017,utility_id,utility_name,street_address,city,state,zip,owner_of_plants_reported_on_form,operator_of_plants_reported_on_form,asset_manager_of_plants_reported_on_form,other_relationships_with_plants_reported_on_form,,entity_type,,,,,,,,,,,,,,,,,,
2018,utility_id,utility_name,street_address,city,state,zip,owner_of_plants_reported_on_form,operator_of_plants_reported_on_form,asset_manager_of_plants_reported_on_form,other_relationships_with_plants_reported_on_form,,entity_type,,,,,,,,,,,,,,,,,,
2019,utility_id,utility_name,street_address,city,state,zip,owner_of_plants_reported_on_form,operator_of_plants_reported_on_form,asset_manager_of_plants_reported_on_form,other_relationships_with_plants_reported_on_form,,entity_type,,,,,,,,,,,,,,,,,,
2020,utility_id,utility_name,street_address,city,state,zip,owner_of_plants_reported_on_form,operator_of_plants_reported_on_form,asset_manager_of_plants_reported_on_form,other_relationships_with_plants_reported_on_form,,entity_type,,,,,,,,,,,,,,,,,,
2021,utility_id,utility_name,street_address,city,state,zip,owner_of_plants_reported_on_form,operator_of_plants_reported_on_form,asset_manager_of_plants_reported_on_form,other_relationships_with_plants_reported_on_form,,entity_type,,,,,,,,,,,,,,,,,,
2022,utility_id,utility_name,street_address,city,state,zip,owner_of_plants_reported_on_form,operator_of_plants_reported_on_form,asset_manager_of_plants_reported_on_form,other_relationships_with_plants_reported_on_form,,entity_type,,,,,,,,,,,,,,,,,,
2023,utility_id,utility_name,street_address,city,state,zip,owner_of_plants_reported_on_form,operator_of_plants_reported_on_form,asset_manager_of_plants_reported_on_form,other_relationships_with_plants_reported_on_form,,entity_type,,,,,,,,,,,,,,,,,,
2024,utility_id,utility_name,street_address,city,state,zip,owner_of_plants_reported_on_form,operator_of_plants_reported_on_form,asset_manager_of_plants_reported_on_form,other_relationships_with_plants_reported_on_form,,entity_type,,,,,,,,,,,,,,,,,,
