2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
2004_144_0_5,2005_144_0_5,2006_144_0_5,2007_144_0_5,2008_144_0_5,2009_144_0_5,2010_144_0_5,2011_144_1_4,2012_144_1_4,2013_144_1_4,2014_144_1_4,2015_144_1_4,2016_144_1_4
2004_148_0_5,2005_148_0_5,2006_148_0_5,2007_148_0_5,2008_148_0_5,2009_148_0_5,2010_148_0_5,2011_148_0_5,2012_148_0_5,2013_148_0_5,2014_148_0_5,2015_148_0_5,2016_148_0_5
2004_22_0_3,2005_22_0_3,2006_22_0_3,2007_22_0_3,2008_22_0_3,2009_22_0_3,2010_22_0_3,2011_22_0_3,2012_22_0_3,2013_22_0_3,2014_22_0_3,2015_22_0_3,2016_22_0_3
2004_148_1_2,2005_148_1_2,2006_148_1_2,2007_148_1_2,2008_148_1_2,2009_148_1_2,2010_148_1_2,2011_148_1_2,2012_148_1_2,2013_148_1_2,2014_148_1_2,2015_148_1_2,2016_148_1_2
2004_189_0_4,2005_189_0_4,2006_189_0_1,2007_189_0_1,2008_189_0_1,2009_189_0_1,2010_189_0_1,2011_189_0_1,2012_189_0_1,2013_189_0_1,2014_189_0_1,2015_189_0_1,2016_189_0_1
2004_24_2_1,2005_24_2_1,2006_24_0_1,,,,,,,,,,
2004_191_1_4,2005_191_1_2,2006_191_1_4,2007_191_1_4,2008_191_1_4,2009_191_1_4,2010_191_1_4,2011_191_1_4,2012_191_1_4,2013_191_1_3,2014_191_1_3,2015_191_1_3,2016_191_1_3
2004_80_1_2,2005_80_1_2,2006_80_1_2,2007_80_1_2,2008_80_1_2,2009_80_1_2,2010_80_1_1,2011_80_1_1,2012_80_1_1,2013_80_0_5,2014_80_0_5,2015_80_0_5,2016_80_0_5
2004_182_0_3,2005_182_0_3,2006_182_0_3,2007_182_0_3,2008_182_0_3,2009_182_0_3,2010_182_0_3,2011_182_0_3,2012_182_0_3,2013_182_0_3,2014_182_0_3,2015_182_0_3,2016_182_0_3
2004_79_0_4,2005_79_0_4,2006_79_0_4,2007_79_0_4,2008_79_0_4,2009_79_2_1,2010_79_2_3,2011_79_2_3,2012_79_2_3,2013_79_2_3,2014_79_2_3,2015_79_2_3,2016_79_2_3
