year_index,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
utility_id_eia,utilcode,utilcode,utility_id,utility_id,utility_id,utility_id,utility_id,utility_id,utility_id,utility_id,utility_id,utility_id,utility_id
utility_name_eia,utilname,utilname,utility_name,utility_name,utility_name,utility_name,utility_name,utility_name,utility_name,utility_name,utility_name,utility_name,utility_name
street_address,address3,address3,utility_street_address,utility_street_address,street_address,street_address,street_address,street_address,street_address,street_address,street_address,street_address,street_address
city,city,city,utility_city,utility_city,city,city,city,city,city,city,city,city,city
state,state,state,utility_state,utility_state,state,state,state,state,state,state,state,state,state
zip_code,zipcode,zipcode,utility_zip5,utility_zip5,zip5,zip,zip,zip,zip,zip,zip,zip,zip
plants_reported_owner,,,,,,,owner,owner,owner_of_plants_reported_on_form,owner_of_plants_reported_on_form,owner_of_plants_reported_on_form,owner_of_plants_reported_on_form,owner_of_plants_reported_on_form
plants_reported_operator,,,,,,,operator,operator,operator_of_plants_reported_on_form,operator_of_plants_reported_on_form,operator_of_plants_reported_on_form,operator_of_plants_reported_on_form,operator_of_plants_reported_on_form
plants_reported_asset_manager,,,,,,,asset_manager,asset_manager,asset_manager_of_plants_reported_on_form,asset_manager_of_plants_reported_on_form,asset_manager_of_plants_reported_on_form,asset_manager_of_plants_reported_on_form,asset_manager_of_plants_reported_on_form
plants_reported_other_relationship,,,,,,,other_reltionships_with_plants_reported_on_form,other_relationships_with_plants_reported_on_form,other_relationships_with_plants_reported_on_form,other_relationships_with_plants_reported_on_form,other_relationships_with_plants_reported_on_form,other_relationships_with_plants_reported_on_form,other_relationships_with_plants_reported_on_form
entity_type,,,,,,,entity_type,entity_type,entity_type,entity_type,entity_type,entity_type,entity_type
attention_line,attn,attn,utility_attention_line,,,,,,,,,,
address_2,address2,address2,utility_po_box_line,utility_street_address_2,,,,,,,,,
zip_code_4,extzip,extzip,utility_zip4,utility_zip4,,,,,,,,,
contact_firstname,cont1nme1,cont1nme1,contact_firstname,,,,,,,,,,
contact_lastname,cont1nme2,cont1nme2,contact_name,,,,,,,,,,
contact_title,contitle,contitle,contact_title,,,,,,,,,,
contact_firstname_2,cont2nme1,cont2nme1,contact_firstname2,,,,,,,,,,
contact_lastname_2,cont2nme2,cont2nme2,contact_name2,,,,,,,,,,
contact_title_2,contitle2,contitle2,contact_title2,,,,,,,,,,
