utility_id_ferc1,utility_id_ferc1_xbrl,utility_id_ferc1_dbf
1,,0
2,,13
3,,14
4,,15
5,,16
6,,20
7,,21
8,,26
9,,28
10,,29
11,,34
12,,37
13,,47
14,,48
15,,53
16,,60
17,,66
18,,67
19,,69
20,,71
21,,75
22,,76
23,,78
24,,86
25,,94
26,,97
27,,102
28,,103
29,,104
30,,106
31,,116
32,,118
33,,139
34,,154
35,,156
36,,158
37,,165
38,,168
39,,172
40,,174
41,,180
42,,197
43,,200
44,,201
45,,204
46,,205
47,,206
48,,207
49,,208
50,,209
51,,211
52,,212
53,,214
54,,215
55,,218
56,,221
57,,223
58,,224
59,,228
60,,232
61,,233
62,,234
63,,235
64,,236
65,,237
66,,238
67,,239
68,,241
69,,242
70,,243
71,,244
72,,246
73,,247
74,,248
75,,249
76,,251
77,,252
78,,253
79,,254
80,,256
81,,257
82,,259
83,,260
84,,261
85,,263
86,,265
87,,267
88,,270
89,,277
90,,279
91,,283
92,,284
93,,285
94,,287
95,,292
96,,293
97,,296
98,,299
99,,300
100,,302
101,,303
102,,304
103,,306
104,,307
105,,310
106,,317
107,,400
108,,401
109,,402
110,,404
111,,405
112,,406
113,,407
114,,408
115,,409
116,,410
117,,411
118,,412
119,,413
120,,414
121,,415
122,,417
123,,420
124,,421
125,,423
126,,424
127,,425
128,,426
129,,427
130,,429
131,,430
132,,431
133,,434
134,,448
135,,450
136,,524
137,,525
138,,534
139,,535
140,,900
141,,998
142,,999
143,,1000
144,,1001
145,,1003
146,C000029,231
147,C000030,255
148,C000038,250
149,C000041,161
150,C000045,294
151,C000116,170
152,C000120,11
153,C000134,36
154,C000135,17
155,C000136,55
156,C000171,150
157,C000191,41
158,C000196,186
159,C000199,32
160,C000201,135
161,C000241,159
162,C000289,144
163,C000290,45
164,C000291,178
165,C000292,27
166,C000312,77
167,C000313,126
168,C000314,30
169,C000315,175
170,C000316,137
171,C000317,136
172,C000318,96
173,C000319,258
173,C000319,275
175,C000367,312
176,C000379,187
177,C000388,133
178,C000415,44
178,C000415,173
180,C000447,22
181,C000465,49
182,C000500,195
183,C000501,181
184,C000502,196
185,C000507,131
186,C000524,438
187,C000525,442
188,C000528,24
189,C000529,189
190,C000530,6
191,C000532,73
192,C000533,81
193,C000534,83
194,C000535,127
195,C000536,148
196,C000537,164
197,C000538,192
198,C000542,119
199,C000553,88
200,C000555,82
201,C000602,42
202,C000615,23
203,C000616,90
204,C000617,151
205,C000618,115
206,C000620,70
207,C000622,128
208,C000685,155
209,C000691,194
210,C000692,281
211,C000744,177
212,C000746,443
213,C000749,266
214,C000771,297
215,C000772,191
216,C000776,8
217,C000822,145
218,C000823,121
219,C000824,120
220,C000825,166
221,C000847,63
222,C000849,100
223,C000850,114
224,C000851,315
225,C000852,169
226,C000862,305
227,C000905,188
228,C000906,101
229,C000911,5
230,C000913,142
231,C000945,522
232,C001009,163
233,C001016,39
234,C001017,146
235,C001018,190
236,C001025,19
237,C001030,56
238,C001111,10
239,C001130,51
240,C001132,141
241,C001143,210
242,C001153,84
243,C001173,64
243,C001173,64
245,C001181,79
246,C001182,182
247,C001183,229
248,C001184,176
249,C001187,288
250,C001188,227
251,C001194,149
252,C001195,272
252,C001195,272
254,C001197,271
254,C001197,271
256,C001218,147
257,C001221,54
258,C001222,290
259,C001225,269
260,C001230,138
261,C001245,226
262,C001248,35
263,C001252,184
263,C001252,320
265,C001257,309
266,C001288,132
267,C001298,58
268,C001305,113
269,C001306,117
270,C001307,59
271,C001308,93
272,C001309,107
273,C001315,74
274,C001316,193
275,C001322,85
276,C001330,171
277,C001344,274
278,C001346,46
279,C001421,12
280,C001436,7
281,C001444,129
282,C001446,185
283,C001454,403
284,C001464,143
285,C001465,43
286,C001466,9
287,C001486,282
288,C001552,2
289,C001553,57
290,C001554,62
291,C001555,99
292,C001559,162
293,C001607,179
294,C001609,157
295,C001610,108
296,C001643,91
297,C001646,134
298,C001654,110
299,C001655,112
300,C001656,111
301,C001673,98
302,C001675,183
303,C001696,432
304,C001707,153
305,C001731,40
306,C001745,61
307,C001775,130
308,C001789,122
309,C001906,124
310,C001907,125
311,C002012,68
312,C002045,95
313,C002073,318
314,C002079,50
315,C002083,295
316,C002089,428
317,C002101,273
317,C002101,273
317,C002101,280
317,C002101,291
317,C002101,308
322,C002111,240
322,C002111,240
324,C002115,38
325,C002116,198
326,C002196,444
327,C002245,222
327,C002245,222
329,C002308,446
330,C002446,278
330,C002446,278
330,C002446,289
333,C002447,245
334,C002498,89
335,C002523,449
336,C002525,316
337,C002854,321
338,C002925,452
339,C003138,433
340,C003184,1
341,C003194,453
342,C003203,451
343,C003244,230
344,C003259,225
344,C003259,225
346,C003372,264
346,C003372,264
348,C003435,276
349,C003448,4
350,C003483,92
351,C003836,529
352,C003849,531
353,C003988,527
354,C004384,109
354,C004384,109
356,C004881,530
357,C004924,262
358,C004936,455
359,C004995,454
360,C005059,532
361,C005067,322
362,C005239,513
363,C005424,539
364,C005443,519
365,C005444,538
366,C005475,516
367,C005519,518
368,C007565,514
369,C007584,517
370,C008784,199
370,C008784,199
372,C008947,528
373,C009068,526
374,C010143,542
375,C010151,533
376,C010388,536
377,C010432,541
378,C010446,540
379,C010464,537
380,C011397,65
380,C011397,65
382,C011423,213
382,C011423,213
384,C011542,203
384,C011542,203
386,R001003,3
387,R001018,18
388,R001025,25
389,R001031,31
390,R001033,33
391,R001052,52
392,R001072,72
393,R001080,80
394,R001087,87
395,R001105,105
396,R001123,123
397,R001140,140
398,R001152,152
399,R001160,160
400,R001167,167
401,R001202,202
402,R001268,268
403,R001298,298
404,R001301,301
405,R001311,311
406,R001313,313
407,R001314,314
408,R001319,319
409,R001416,416
410,R001418,418
411,R001419,419
412,R001422,422
413,R001435,435
414,R001436,436
415,R001437,437
416,R001439,439
417,R001440,440
418,R001441,441
419,R001445,445
420,R001447,447
421,R001512,512
422,R001515,515
423,R001520,520
424,R001521,521
425,R001523,523
