year_index,borrower_id_rus,borrower_name_rus,report_year,report_month,investment_description,investment_type_code,included_investments,excluded_investments,income_or_loss,for_rural_development
2006,rusborrowerid,borrowername,year,period,description,investmenttype,included,excluded,incomeorloss,ruraldevelopment
2007,rusborrowerid,borrowername,year,period,description,investmenttype,included,excluded,incomeorloss,ruraldevelopment
2008,rusborrowerid,borrowername,year,period,description,investmenttype,included,excluded,incomeorloss,ruraldevelopment
2009,rusborrowerid,borrowername,year,period,description,investmenttype,included,excluded,incomeorloss,ruraldevelopment
2010,rusborrowerid,borrowername,year,period,description,investmenttype,included,excluded,incomeorloss,ruraldevelopment
2011,rusborrowerid,borrowername,year,period,description,investmenttype,included,excluded,incomeorloss,ruraldevelopment
2012,rusborrowerid,borrowername,year,period,description,investmenttype,included,excluded,incomeorloss,ruraldevelopment
2013,rusborrowerid,borrowername,year,period,description,investmenttype,included,excluded,incomeorloss,ruraldevelopment
2014,rusborrowerid,borrowername,year,period,description,investmenttype,included,excluded,incomeorloss,ruraldevelopment
2015,rusborrowerid,borrowername,year,period,description,investmenttype,included,excluded,incomeorloss,ruraldevelopment
2016,rusborrowerid,borrowername,year,period,description,investmenttype,included,excluded,incomeorloss,ruraldevelopment
2017,rusborrowerid,borrowername,year,period,description,investmenttype,included,excluded,incomeorloss,ruraldevelopment
2018,rusborrowerid,borrowername,year,period,description,investmenttype,included,excluded,incomeorloss,ruraldevelopment
2019,rusborrowerid,borrowername,year,period,description,investmenttype,included,excluded,incomeorloss,ruraldevelopment
2020,rusborrowerid,borrowername,year,period,description,investmenttype,included,excluded,incomeorloss,ruraldevelopment
2021,rusborrowerid,borrowername,year,period,description,investmenttype,included,excluded,incomeorloss,ruraldevelopment
